question,options,answer
What is the chemical symbol for gold?,"Au,Ag,Pb,Fe",Au
Which planet is known as the Red Planet?,"Mars,Jupiter,Saturn,Venus",Mars
What gas do plants absorb from the atmosphere for photosynthesis?,"Oxygen,Carbon Dioxide,Nitrogen,Hydrogen",Carbon Dioxide
Who proposed the theory of relativity?,"Isaac Newton,Niels Bohr,Albert Einstein,Galileo Galilei",Albert Einstein
What is the hardest natural substance on Earth?,"Gold,Iron,Diamond,Quartz",Diamond
Which is the most abundant gas in the Earth's atmosphere?,"Oxygen,Hydrogen,Carbon Dioxide,Nitrogen",Nitrogen
What is the main element found in the sun?,"Oxygen,Hydrogen,Helium,Carbon",Hydrogen
What units are used to measure force?,"Joules,Newtons,Watts,Hertz",Newtons
How long does the Earth take to revolve around the Sun?,"365 days,365.25 days,364 days,366 days",365.25 days
What is the boiling point of water?,"100°C,90°C,95°C,105°C",100°C
What is the formula for sodium chloride?,"NaCl,HCl,NaHCO3,C12H22O11",NaCl
What type of animal is a Komodo dragon?,"Bird,Mammal,Fish,Reptile",Reptile
What is the human body's largest organ?,"Heart,Skin,Liver,Kidney",Skin
What is the powerhouse of the cell?,"Nucleus,Mitochondria,Ribosome,Endoplasmic Reticulum",Mitochondria
Which element has the highest electrical conductivity?,"Silver,Copper,Gold,Aluminum",Silver
How many teeth does an adult human have?,"32,34,28,30",32
What is common table sugar called chemically?,"Glucose,Fructose,Sucrose,Lactose",Sucrose
What vitamin is produced when human skin is exposed to sunlight?,"Vitamin A,Vitamin B12,Vitamin D,Vitamin C",Vitamin D
What is the most abundant element in the universe?,"Oxygen,Hydrogen,Carbon,Silicon",Hydrogen
What do paleontologists study?,"Ancient civilizations,Human evolution,Fossils,Minerals",Fossils
